CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Timothy E. Guertin,VARIAN MEDICAL SYSTEMS INC,11115,18195,2007,varian medical systems
Steven Roth,VORNADO REALTY TRUST,11220,28686,2007,vornado realty trust
Donald M. James,VULCAN MATERIALS CO,11228,11011,2007,vulcan materials
"H. Lee Scott, Jr.",WALMART INC,11259,15154,2007,walmart inc
Jeffrey A. Rein,WALGREENS BOOTS ALLIANCE INC,11264,24162,2007,walgreens boots alliance
Donald E. Graham,GRAHAM HOLDINGS CO,11300,1018,2007,graham holdings
"Kerrii B. Anderson, CPA, CPA",WENDY'S INTERNATIONAL INC,11366,23137,2007,wendy's international
Arif Shakeel,WESTERN DIGITAL CORP,11399,20185,2007,western digital
"John Anderson Luke, Jr.",MEADWESTVACO CORP,11446,1471,2007,meadwestvaco corp
Steven R. Rogel,WEYERHAEUSER CO,11456,1396,2007,weyerhaeuser
Jeffrey M. Fettig,WHIRLPOOL CORP,11465,14379,2007,whirlpool corp
Steven J. Malcolm,WILLIAMS COS INC,11506,23887,2007,williamss cos inc
Gale E. Klappa,WEC ENERGY GROUP INC,11550,24664,2007,wec energy group
William Douglas Harvey,ALLIANT ENERGY CORP,11554,5256,2007,alliant energy
Larry Lee Weyers,INTEGRYS HOLDING INC,11555,22947,2007,integrys holding
Matthew D. Serra,FOOT LOCKER INC,11584,22257,2007,foot locker inc
William D. Perez,WRIGLEY (WM) JR CO,11609,28545,2007,wrigley (wm) jr
Anne M. Mulcahy,XEROX HOLDINGS CORP,11636,19242,2007,xerox holdings
Carol M. Meyrowitz,TJX COS INC (THE),11672,21481,2007,tjxs cos inc
Harris Henry Simmons,ZIONS BANCORPORATION NA,11687,7587,2007,zions bancorporation na
John F. Prim,HENRY (JACK) & ASSOCIATES,11811,25643,2007,henry (jack) & associates
James Elliot Cayne,BEAR STEARNS COMPANIES INC,11818,114,2007,bear stearnsmpanies
"John A. Allison, IV",TRUIST FINANCIAL CORP,11856,113,2007,truist financial
Ronald W. Hovsepian,NOVELL INC,11910,27456,2007,novell inc
James T. Hackett,ANADARKO PETROLEUM CORP,11923,12580,2007,anadarko petroleum
James C. Day,NOBLE CORP PLC,11925,8997,2007,noble plc
Joseph Michael Tucci,EMC CORP/MA,12053,20887,2007,emc corp/ma
Steven S. Fishman,BIG LOTS INC,12123,29775,2007,big lots
John J. Mack,MORGAN STANLEY,12124,3922,2007,morgan stanley
Jonathan I. Schwartz,SUN MICROSYSTEMS INC,12136,27199,2007,sun microsystems
"James Aloysius-Charles Kennedy, C.F.A., CFA",PRICE (T. ROWE) GROUP,12138,12403,2007,price (t. rowe) group
Steven A. Ballmer,MICROSOFT CORP,12141,2967,2007,microsoft corp
Lawrence J. Ellison,ORACLE CORP,12142,717,2007,oracle corp
Bernd Erich Beetz,COTY INC,12151,50017,2011,coty inc
Charles Carey,DIRECTV,12206,28337,2007,directv
Lothar Maier,LINEAR TECHNOLOGY CORP,12216,6212,2007,linear technology
Henri A. Termeer,GENZYME CORP,12233,419,2007,genzyme corp
Burke W. Whitman,HEALTH MANAGEMENT ASSOC,12338,21801,2007,health management assoc
James L. Ziemer,HARLEY-DAVIDSON INC,12389,4549,2007,harley-davidson
Eugene A. Hall,GARTNER INC,12441,22558,2007,gartner inc
James Lawrence Dolan,ALTICE USA INC,12485,40630,2007,altice usa
Bruce R. Chizen,ADOBE INC,12540,16349,2007,adobe inc
"Jeffery W. Yabuki, B.S., CPA",FISERV INC,12635,23954,2007,fiserv inc
Jeffrey T. Mezger,KB HOME,12689,18244,2007,kb home
Thomas Ros Watjen,UNUM GROUP,12726,6282,2007,unum group
"John Franklin Brock, III",COCA-COLA EUROPEAN PARTNERS,12756,30869,2007,coca-cola european partners
Bernard A. Girod,HARMAN INTERNATIONAL INDS,12788,14309,2007,harman international inds
Neal L. Patterson,CERNER CORP,12850,6625,2007,cerner corp
Andre Dahan,COMVERSE TECHNOLOGY INC,12884,13017,2007,comverse technology
"Keith Rupert Murdoch, AC",TWENTY-FIRST CENTURY FOX INC,12886,30312,2007,twenty-first century fox
Peter McCausland,AIRGAS INC,12950,11839,2007,airgas inc
William Anthony Vernon,KRAFT FOODS GROUP INC,12978,41468,2010,kraft foods group
Michael W. Sutherlin,JOY GLOBAL INC,13003,13201,2007,joy global
Richard E. Anthony,SYNOVUS FINANCIAL CORP,13041,12506,2007,synovus financial
"James F. Flaherty, III, CPA, CPA",HEALTHPEAK PROPERTIES INC,13125,33985,2007,healthpeak properties
Glenn Morris Renwick,PROGRESSIVE CORP-OHIO,13341,12511,2007,progressive-ohio
"Bruce L. Downey, J.D.",BARR PHARMACEUTICALS INC,13365,15878,2007,barr pharmaceuticals
Michael J. Fister,CADENCE DESIGN SYSTEMS INC,13421,27937,2007,cadence design systems
James Q. Crowe,LEVEL 3 COMMUNICATIONS INC,13440,630,2007,level 3mmunications
Micky Meir Arison,CARNIVAL CORPORATION & PLC,13498,174,2007,carnivaloration & plc
Dennis D. Oklak,DUKE REALTY CORP,13510,24489,2007,duke realty
Gary Charles Dunton,MBIA INC,13561,3343,2007,mbia inc
Sol J. Barer,CELGENE CORP,13599,35699,2007,celgene corp
Michael R. Minogue,ABIOMED INC,13619,43706,2007,abiomed inc
Michael J. Kowalski,TIFFANY & CO,13646,5597,2007,tiffany & co
Bret W. Wise,DENTSPLY SIRONA INC,13700,21109,2007,dentsply sirona
"Leslie Moonves, II",VIACOMCBS INC,13714,14541,2007,viacomcbs inc
Juan Ramn Alaix,ZOETIS INC,13721,44952,2012,zoetis inc
Charles Robert Schwab,SCHWAB (CHARLES) CORP,13988,839,2007,schwab (charles)
Willard D. Oberton,FASTENAL CO,14225,14812,2007,fastenal co
John F. Gifford,MAXIM INTEGRATED PRODUCTS,14256,8267,2007,maxim integrated products
"James H. Herbert, II",FIRST REPUBLIC BANK,14275,34934,2009,first republic bank
Martin H. Loeffler,AMPHENOL CORP,14282,34216,2007,amphenol corp
John P. Daane,ALTERA CORP,14324,14808,2007,altera corp
Scott Douglas Sheffield,PIONEER NATURAL RESOURCES CO,14359,736,2007,pioneer natural resources
J. Terrence Lanni,MGM RESORTS INTERNATIONAL,14418,4766,2007,mgm resorts international
Naren K. Gursahaney,ADT CORP,14438,32380,2011,adt corp
David P. Steiner,WASTE MANAGEMENT INC,14477,26530,2007,waste management
Michael S. Dell,DELL TECHNOLOGIES INC,14489,281,2007,dell technologies
Kenneth W. Lowe,EW SCRIPPS  -CL A,14535,21126,2007,ew scripps
Richard C. Adkerson,FREEPORT-MCMORAN INC,14590,1684,2007,freeport-mcmoran
Richard S. Hill,NOVELLUS SYSTEMS INC,14623,3408,2007,novellus systems
Stephen A. Odland,OFFICE DEPOT INC,14624,22758,2007,office depot
Robert E. Beauchamp,BMC SOFTWARE INC,14650,15584,2007,bmc software
"John Jefferson Schiff, Jr., CPCU",CINCINNATI FINANCIAL CORP,14824,1368,2007,cincinnati financial
J. Larry Nichols,DEVON ENERGY CORP,14934,8651,2007,devon energy
David P. King,LABORATORY CP OF AMER HLDGS,14960,29709,2007,laboratory cp of amer hldgs
Richard Francis Syron,FEDERAL HOME LOAN MORTG CORP,15208,19288,2007,federal home loan mortg
William R. Klesse,VALERO ENERGY CORP,15247,5447,2007,valero energy
Terry Lee Burman,SIGNET JEWELERS LTD,15520,42216,2007,signet jewelers
"Ronald L. Sargent, M.B.A.",STAPLES INC,15521,10628,2007,staples inc
David E. I. Pyott,ALLERGAN INC,15708,16461,2007,allergan inc
Rick R. Holley,PLUM CREEK TIMBER CO INC,15709,22941,2007,plum creek timber
John Wendell Thompson,NORTONLIFELOCK INC,15855,19772,2007,nortonlifelock
Richard A. Gonzalez,ABBVIE INC,16101,18569,2010,abbvie inc
Kerry K. Killinger,WASHINGTON MUTUAL INC,16243,1017,2007,washington mutual
John Albert Klein,PEOPLE'S UNITED FINL INC,16245,34773,2007,people's united finl
Mark G. Papa,EOG RESOURCES INC,16478,1440,2007,eog resources
John S. Riccitiello,ELECTRONIC ARTS INC,16721,15533,2007,electronic arts
"Vernon W. Hill, II",COMMERCE BANCORP INC/NJ,16784,17629,2007,commerce bancorp
Kenneth Parmalee Wilcox,SVB FINANCIAL GROUP,17120,15518,2007,svb financial group
Joseph P. Campanelli,SANTANDER HOLDINGS USA INC,17130,21274,2007,santander holdings usa
Thomas H. Pike,IQVIA HOLDINGS INC,17928,51778,2012,iqvia holdings
Robert J. Thomson,NEWS CORP,18043,44957,2013,news corp
Mark Christopher Trudeau,MALLINCKRODT PLC,18086,43816,2013,mallinckrodt plc
C. Richard Harrison,PTC INC,18699,4402,2007,ptc inc
Richard Costolo,TWITTER INC,18872,55347,2012,twitter inc
Ronald S. Nersesian,KEYSIGHT TECHNOLOGIES INC,20232,34854,2011,keysight technologies
Gary William Loveman,CAESARS ENTERTAINMENT CORP,20423,16582,2007,caesars entertainment
Dan O. Dinges,CABOT OIL & GAS CORP,20548,10901,2007,cabot oil & gas
Gareth Roberts,DENBURY RESOURCES INC,20653,28586,2007,denbury resources
Margaret M. Keane,SYNCHRONY FINANCIAL,20686,48391,2013,synchrony financial
Jayshree V. Ullal,ARISTA NETWORKS INC,20748,55474,2013,arista networks
John T. Chambers,CISCO SYSTEMS INC,20779,1417,2007,cisco systems
John W. Cumming,HOLOGIC INC,20904,22966,2007,hologic inc
Ellen R. Alemany,CITIZENS FINANCIAL GROUP INC,21825,48750,2013,citizens financial group
John J. Zillmer,ALLIED WASTE INDUSTRIES INC,22140,23101,2007,allied waste industries
"Jack O. Bovender, Jr.",HCA HEALTHCARE INC,22260,16863,2007,hca healthcare
Willem P. Roelandts,XILINX INC,22325,2526,2007,xilinx inc
Ludwig N. Hantson,BAXALTA INC,22734,40792,2014,baxalta inc
James W. Stewart,BJ SERVICES CO,22794,4101,2007,bj services
"William C. Rhodes, III",AUTOZONE INC,23809,28867,2007,autozone inc
Leonard S. Schleifer,REGENERON PHARMACEUTICALS,23812,9752,2007,regeneron pharmaceuticals
"Robert C. Skaggs, Jr.",COLUMBIA PIPELINE GROUP INC,23827,13173,2014,columbia pipeline group
Dale Brian Wolf,COVENTRY HEALTH CARE INC,23877,15416,2007,coventry health care
Robert L. Bailey,PMC-SIERRA INC,23943,22448,2007,pmc-sierra
"Frank Baldino, Jr.",CEPHALON INC,23945,7608,2007,cephalon inc
"John P. Surma, Jr.",UNITED STATES STEEL CORP,23978,23062,2007,united states steel
Peter Boneparth,JONES GROUP INC,24032,24758,2007,jones group
Jonathan W. Ayers,IDEXX LABS INC,24197,21002,2007,idexx labs
Paul T. Hanrahan,AES CORP (THE),24216,20985,2007,aes corp
Robert John Genader,AMBAC FINANCIAL GROUP INC,24287,13207,2007,ambac financial group
Rodney Cyril Sacks,MONSTER BEVERAGE CORP,24316,28838,2007,monster beverage
Brian Michael O'Hara,XL GROUP LTD,24318,22444,2007,xl group
Joshua S. Boger,VERTEX PHARMACEUTICALS INC,24344,7518,2007,vertex pharmaceuticals
Curt Steven Culver,MGIC INVESTMENT CORP/WI,24379,10623,2007,mgic investment/wi
James C. Mullen,BIOGEN INC,24468,13278,2007,biogen inc
Daniel H. Schulman,PAYPAL HOLDINGS INC,24616,22147,2014,paypal holdings
Milton Cooper,KIMCO REALTY CORP,24731,533,2007,kimco realty
Joseph C. Papa,PERRIGO CO PLC,24782,24736,2007,perrigo plc
Paul E. Jacobs,QUALCOMM INC,24800,22816,2007,qualcomm inc
John C. Martin,GILEAD SCIENCES INC,24856,17643,2007,gilead sciences
John P. Mackey,WHOLE FOODS MARKET INC,24893,7530,2007,whole foods market
Brian D. Jellison,ROPER TECHNOLOGIES INC,24925,14340,2007,roper technologies
Aart J. de Geus,SYNOPSYS INC,24975,14024,2007,synopsys inc
"Richard D. Parsons, Esq., J.D.",TIME WARNER INC,25056,1873,2007,time warner
Jeffrey S. Lorberbaum,MOHAWK INDUSTRIES INC,25119,8449,2007,mohawk industries
Stephen F. Angel,LINDE PLC,25124,23103,2007,linde plc
Henry C. Duques,FIRST DATA CORP,25157,361,2007,first data
James R. Tobin,BOSTON SCIENTIFIC CORP,25279,1160,2007,boston scientific
R. Lawrence Montgomery,KOHL'S CORP,25283,5361,2007,kohl's corp
Steven H. Temares,BED BATH & BEYOND INC,25338,13517,2007,bed bath & beyond
Donald J. Tomnitz,D R HORTON INC,25340,14264,2007,d r horton
George Paz,EXPRESS SCRIPTS HOLDING CO,25356,11797,2007,express scripts holding
James L. Donald,STARBUCKS CORP,25434,25850,2007,starbucks corp
Bruce A. Williamson,DYNEGY INC,25495,24764,2007,dynegy inc
David G. DeWalt,MCAFEE INC,25783,30958,2007,mcafee inc
James W. Wiltz,PATTERSON COS INC,25880,8591,2007,pattersons cos inc
"Peter Karmanos, Jr.",COMPUWARE CORP,26011,241,2007,compuware corp
Barry Diller,IAC/INTERACTIVECORP,26061,795,2007,iac/interactivecorp
Margaret Cushing Whitman,HEWLETT PACKARD ENTERPRISE,26156,5706,2012,hewlett packard enterprise
"Lawrence B. Prior, III",CSRA INC,26304,34058,2013,csra inc
"William Howard Lenehan, IV",FOUR CORNERS PROPERTY TR INC,26410,48411,2015,fourrners property tr
James A. Lico,FORTIVE CORP,26590,31086,2015,fortive corp
Guillermo Novo,VERSUM MATERIALS INC,26709,48327,2015,versum materials
D. Michael Wilson,INGEVITY CORP,27119,12114,2014,ingevity corp
R. Bruce McDonald,ADIENT PLC,27333,30588,2016,adient plc
Scott Alan Wolstein,SITE CENTERS CORP,27780,29720,2007,site centers
Aubrey K. McClendon,CHESAPEAKE ENERGY CORP,27786,29794,2007,chesapeake energy
Mark S. Ordan,QUALITY CARE PROPERTIES INC,27800,36322,2016,quality care properties
Allen Chao,ALLERGAN PLC,27845,8329,2007,allergan plc
Michael B. McCallister,HUMANA INC,27914,14655,2007,humana inc
Stephen M. Bennett,INTUIT INC,27928,20241,2007,intuit inc
Stephen Sanghi,MICROCHIP TECHNOLOGY INC,27965,7634,2007,microchip technology
Evan G. Greenberg,CHUBB LTD,28034,14586,2007,chubb ltd
Erin N. Kane,ADVANSIX INC,28070,50091,2015,advansix
Kosta N. Kartsotis,FOSSIL GROUP INC,28118,17832,2007,fossil group
"John L. Bucksbaum, SCSM",BROOKFIELD PROPERTY REIT,28119,33907,2007,brookfield property reit
Jure Sola,SANMINA CORP,28139,8095,2007,sanmina corp
Gregory L. Henslee,O'REILLY AUTOMOTIVE INC,28180,19277,2007,o'reilly automotive
Richard D. Fain,ROYAL CARIBBEAN CRUISES LTD,28191,46764,2007,royal caribbean cruises
Alain Juan Pablo Belda,HOWMET AEROSPACE INC,28192,1510,2007,howmet aerospace
Timothy L. Main,JABIL INC,28195,17770,2007,jabil inc
Bob R. Simpson,XTO ENERGY INC,28256,9466,2007,xto energy
Robert L. Long,TRANSOCEAN LTD,28338,9601,2007,transocean
"Thomas Joseph Wilson, II",ALLSTATE CORP,28349,10669,2007,allstate corp
"Earl Ray Lewis, III",FLIR SYSTEMS INC,28477,16819,2007,flir systems
Philip L. Francis,PETSMART INC,28648,26822,2007,petsmart inc
David J. Neithercut,EQUITY RESIDENTIAL,28733,21144,2007,equity residential
Timothy M. Manganello,BORGWARNER INC,28742,19392,2007,borgwarner inc
Thomas P. Werner,LAMB WESTON HOLDINGS INC,28790,49931,2015,lamb weston holdings
Robert P. Stiller,KEURIG DR PEPPER INC,28877,34013,2007,keurig dr pepper
"John Willard Marriott, Jr.",MARRIOTT INTL INC,28930,588,2007,marriott intl
Sunny S. Sanyal,VAREX IMAGING CORP,29004,46716,2015,varex imaging
James D. Sinegal,COSTCO WHOLESALE CORP,29028,1486,2007,costco wholesale
"Martin E. Stein, Jr.",REGENCY CENTERS CORP,29099,28670,2007,regency centers
Paul A. Friedman,INCYTE CORP,29127,23532,2007,incyte corp
Glen T. Senk,URBAN OUTFITTERS INC,29150,34360,2007,urban outfitters
T. Alex Vetter,CARS.COM INC,29155,51658,2015,cars.com
David A. Trice,NEWFIELD EXPLORATION CO,29173,16621,2007,newfield exploration
"Kevin J. Kennedy, Ph.D.",VIAVI SOLUTIONS INC,29241,25510,2007,viavi solutions
David E. Simon,SIMON PROPERTY GROUP INC,29389,24716,2007,simon property group
James Brian Ferguson,EASTMAN CHEMICAL CO,29392,21019,2007,eastman chemical
"H. Eric Bolton, Jr.",MID-AMERICA APT CMNTYS INC,29649,30246,2007,mid-america apt cmntys
"Stephen P. Zelnak, Jr.",MARTIN MARIETTA MATERIALS,29733,13778,2007,martin marietta materials
James F. Wright,TRACTOR SUPPLY CO,29736,25034,2007,tractor supply
Mark C. Rohr,ALBEMARLE CORP,29751,18845,2007,albemarle corp
Harshad K. Desai,QLOGIC CORP,29791,17772,2007,qlogic corp
"Martin L. Flanagan, CFA, CPA",INVESCO LTD,29804,4457,2007,invesco ltd
John G. Cox,BIOVERATIV INC,29819,43232,2015,bioverativ inc
James A. Rubright,WESTROCK CO,29830,5863,2007,westrock co
"Arthur M. Coppola, CPA",MACERICH CO,29868,28613,2007,macerich co
Bryce F. Blair,AVALONBAY COMMUNITIES INC,29875,27796,2007,avalonbaymmunities
Willis J. Johnson,COPART INC,29901,17945,2007,copart inc
James L. Wainscott,AK STEEL HOLDING CORP,29968,21310,2007,ak steel holding
Jeffrey Howard Schwartz,PROLOGIS INC,29984,26150,2007,prologis inc
"Richard Severin Fuld, Jr.",LEHMAN BROTHERS HOLDINGS INC,30128,14194,2007,lehman brothers holdings
Howard W. Robin,NEKTAR THERAPEUTICS,30137,48100,2007,nektar therapeutics
Keith R. Guericke,ESSEX PROPERTY TRUST,30293,26552,2007,essex property trust
"Terry Considine, J.D.",APARTMENT INVST & MGMT CO,30490,24516,2007,apartment invst & mgmt
Lynn R. Blodgett,AFFILIATED COMPUTER SERVICES,30697,21016,2007,affiliated computer services
"Thomas A. Lewis, Jr.",REALTY INCOME CORP,30822,33446,2007,realty income
Thierry Pilenko,TECHNIPFMC PLC,30923,28425,2007,technipfmc plc
Richard D. Fairbank,CAPITAL ONE FINANCIAL CORP,30990,14453,2007,capital one financial
Brian E. Mueller,APOLLO EDUCATION GROUP INC,31122,31241,2007,apollo education group
Bobby L. Sasser,DOLLAR TREE INC,31587,19397,2007,dollar tree
R. David Yost,AMERISOURCEBERGEN CORP,31673,20354,2007,amerisourcebergen
Eric Thomas Steigerwalt,BRIGHTHOUSE FINANL INC,31774,43020,2017,brighthouse finanl
Liam Butterworth,DELPHI TECHNOLOGIES PLC,31802,48814,2016,delphi technologies plc
"Clarence Otis, Jr.",DARDEN RESTAURANTS INC,31846,19771,2007,darden restaurants
"Peter C. Farrell, A.M., Ph.D., BE (Hons), ScD, AM",RESMED INC,31887,18079,2007,resmed inc
Lorenzo Simonelli,BAKER HUGHES CO,32106,55154,2017,baker hughes
W. Matthew Kelly,JBG SMITH PPTYS,32154,55158,2017,jbg smith pptys
Sivasankaran Somasundaram,CHAMPIONX CORP,33326,48999,2016,championx corp
John McNamara Curtis,PERSPECTA INC,33439,57278,2018,perspecta inc
James R. Fitterling,DOW INC,34443,44157,2018,dow inc
Lachlan Keith Murdoch,FOX CORP,34636,50022,2016,fox corp
Benjamin J. Shaw,COVETRUS INC,34765,58355,2019,covetrus inc
Scott H. Baxter,KONTOOR BRANDS INC,35035,42687,2018,kontoor brands
"James C. Collins, Jr.",CORTEVA INC,35168,48584,2019,corteva inc
Sheldon R. Erikson,CAMERON INTERNATIONAL CORP,60894,19925,2007,cameron international
Charles W. Ergen,DISH NETWORK CORP,60900,18919,2007,dish network
Albert J. Neupaver,WABTEC CORP,60979,13399,2007,wabtec corp
Nabeel K. Gareeb,SUNEDISON INC,60992,20248,2007,sunedison inc
Joseph Victor Taranto,EVEREST RE GROUP LTD,61388,1877,2007,everest re group
James S. Tisch,DIAMOND OFFSHRE DRILLING INC,61409,993,2007,diamond offshre drilling
Kent J. Thiry,DAVITA INC,61483,7568,2007,davita inc
Edward A. Mueller,QWEST COMMUNICATION INTL INC,61489,20844,2007,qwestmmunication intl
Stanley M. Bergman,HENRY SCHEIN INC,61494,22703,2007,henry schein
Eli Harari,SANDISK CORP,61513,18853,2007,sandisk corp
Paul J. Curlander,LEXMARK INTL INC  -CL A,61552,13595,2007,lexmark intl
William P. Lauder,LAUDER (ESTEE) COS INC -CL A,61567,17879,2007,lauder (estee)
Douglas A. Berthiaume,WATERS CORP,61574,2978,2007,waters corp
Daniel J. Warmenhoven,NETAPP INC,61591,7045,2007,netapp inc
Mark B. Templeton,CITRIX SYSTEMS INC,61676,16171,2007,citrix systems
Ramani Ayer,HARTFORD FINANCIAL SERVICES,61739,12661,2007,hartford financial services
Leonard Bell,ALEXION PHARMACEUTICALS INC,62263,43395,2007,alexion pharmaceuticals
C. Richard Reese,IRON MOUNTAIN INC,62374,26792,2007,iron mountain
Chih-Yuan Yang,ALTABA INC,62634,32860,2007,altaba inc
Gregg L. Engles,DEAN FOODS CO,62655,16050,2007,dean foods
Jay S. Fishman,TRAVELERS COS INC,62689,12698,2007,travelerss cos inc
Steven L. Watson,TITANIUM METALS CORP,62984,34251,2007,titanium metals
"James E. Cashman, III",ANSYS INC,63080,26216,2007,ansys inc
"Mitchell Harris Caplan, J.D.",E TRADE FINANCIAL CORP,63501,20394,2007,e trade financial
Mark C. Miller,STERICYCLE INC,63527,25162,2007,stericycle inc
Michael S. Jeffries,ABERCROMBIE & FITCH  -CL A,63643,15883,2007,abercrombie & fitch 
Peter A. Lankau,ENDO INTERNATIONAL PLC,63645,33731,2007,endo international plc
Joseph Uva,UNIVISION COMMUNICATIONS INC,63669,34103,2007,univision communications
David R. Carlucci,IMS HEALTH HOLDINGS INC,63800,26041,2007,ims health holdings
"Merrill A. Miller, Jr.",NATIONAL OILWELL VARCO INC,63892,20342,2007,national oilwell varco
Salvatore Iannuzzi,MONSTER WORLDWIDE INC,64156,29355,2007,monster worldwide
Surya N. Mohapatra,QUEST DIAGNOSTICS INC,64166,19669,2007,quest diagnostics
Gary B. Smith,CIENA CORP,64356,18355,2007,ciena corp
Thomas Joseph Folliard,CARMAX INC,64410,34299,2007,carmax inc
Benjamin Feder,TAKE-TWO INTERACTIVE SFTWR,64630,32444,2007,take-two interactive sftwr
Jeffrey P. Bezos,AMAZON.COM INC,64768,15055,2007,amazon.com
"Joel S. Marcus, CPA, J.D.",ALEXANDRIA R E EQUITIES INC,64821,32750,2007,alexandria r e equities
Robert A. Bruggeworth,QORVO INC,64853,22024,2007,qorvo inc
Ralph Lauren,RALPH LAUREN CORP,64891,28653,2007,ralph lauren
Edward H. Linde,BOSTON PROPERTIES INC,64925,26154,2007,boston properties
Marc Holliday,SL GREEN REALTY CORP,65290,37591,2007,sl green realty
Malon Wilkus,AMERICAN CAPITAL LTD,65345,34022,2007,american capital
David C. Novak,YUM BRANDS INC,65417,14669,2007,yum brands
John P. Wiehoff,C H ROBINSON WORLDWIDE INC,65609,19034,2007,c h robinson worldwide
"Robert F. Spoerry, M.B.A., MBA",METTLER-TOLEDO INTL INC,65772,17420,2007,mettler-toledo intl
Sean Michael Healey,AFFILIATED MANAGERS GRP INC,65886,32736,2007,affiliated managers grp
Ken P. McDonald,ENVISION HEALTHCARE CORP,65967,26729,2007,envision healthcare
Michael J. Kneeland,UNITED RENTALS INC,66065,26766,2007,united rentals
"William A. Roper, Jr.",VERISIGN INC,66368,33564,2007,verisign inc
John R. Colson,QUANTA SERVICES INC,66446,19687,2007,quanta services
Scott A. McGregor,BROADCOM CORP,66708,29049,2007,broadcom
John Christopher Donahue,FEDERATED HERMES INC,66731,21148,2007,federated hermes
"Ken MacKenzie, B.E., F.A.C.I.D., BEng, BEng., FIEA",AMCOR PLC,100243,57336,2007,amcor plc
David L. Calhoun,NIELSEN HOLDINGS PLC,100873,45058,2007,nielsen holdings plc
Kevin M. Sheehan,NORWEGIAN CRUISE LINE HLDGS,104432,24595,2009,norwegian cruise line hldgs
"James D. Taiclet, Jr.",AMERICAN TOWER CORP,105365,32778,2007,american tower
Debra A. Cafaro,VENTAS INC,110179,36129,2007,ventas inc
Michael T. Strianese,L3 TECHNOLOGIES INC,110685,19157,2007,l3 technologies
Francisco D'Souza,COGNIZANT TECH SOLUTIONS,111864,26787,2007,cognizant tech solutions
Brian A. Markison,KING PHARMACEUTICALS INC,112033,28307,2007,king pharmaceuticals
James E. O'Connor,REPUBLIC SERVICES INC,112168,22799,2007,republic services
David F. Dougherty,CONVERGYS CORP,113419,16893,2007,convergys corp
John P. Kelly,CROWN CASTLE INTL CORP,113490,42359,2007,crown castle intl
Margaret Cushing Whitman,EBAY INC,114524,5706,2007,ebay inc
Lloyd C. Blankfein,GOLDMAN SACHS GROUP INC,114628,24365,2007,goldman sachs group
Jen-Hsun Huang,NVIDIA CORP,117768,19583,2007,nvidia corp
Rodney O'Neal,APTIV PLC,118122,19028,2007,aptiv plc
Gregory T. Lucier,LIFE TECHNOLOGIES CORP,118577,34325,2007,life technologies
Jeffery H. Boyd,BOOKING HOLDINGS INC,119314,12759,2007,booking holdings
Eric J. Foss,PEPSI BOTTLING GROUP INC,119417,21139,2007,pepsi bottling group
J. Brett Harvey,CNX RESOURCES CORPORATION,120093,30189,2007,cnx resourcesoration
Susan M. Cameron,REYNOLDS AMERICAN INC,120877,27675,2007,reynolds american
John McAdam,F5 NETWORKS INC,121077,4247,2007,f5 networks
Jeffrey A. Stoops,SBA COMMUNICATIONS CORP,121382,51888,2007,sbammunications
Scott G. Kriens,JUNIPER NETWORKS INC,121718,7333,2007,juniper networks
"Ronald E. Hermance, Jr.",HUDSON CITY BANCORP INC,122015,24679,2007,hudson city bancorp
Matthew Szulik,RED HAT INC,122841,36121,2007,red hat
Laurence Douglas Fink,BLACKROCK INC,124434,27717,2007,blackrock inc
Richard L. Wambold,PACTIV CORP,125533,19115,2007,pactiv corp
Paul L. Sagan,AKAMAI TECHNOLOGIES INC,125595,18624,2007,akamai technologies
Kornelis Smit,CHARTER COMMUNICATIONS INC,126136,42456,2007,chartermmunications
Dara Khosrowshahi,EXPEDIA GROUP INC,126296,16588,2007,expedia group
William P. Sullivan,AGILENT TECHNOLOGIES INC,126554,18350,2007,agilent technologies
Paul Thomas Stecko,PACKAGING CORP OF AMERICA,128978,10724,2007,packaging of america
Michael A. Mussallem,EDWARDS LIFESCIENCES CORP,133366,12601,2007,edwards lifesciences
Carl Robert Henrikson,METLIFE INC,133768,20975,2007,metlife inc
Mary Agnes Wilderotter,FRONTIER COMMUNICATIONS CORP,135484,28242,2007,frontiermmunications
David W. Crane,NRG ENERGY INC,135990,37704,2007,nrg energy
Lonnie M. Smith,INTUITIVE SURGICAL INC,136725,1370,2007,intuitive surgical
Gary Douglas Black,JANUS CAPITAL GROUP INC,137232,27993,2007,janus capital group
Jay T. Flatley,ILLUMINA INC,138205,48495,2007,illumina inc
Stephen M. Smith,EQUINIX INC,138743,36529,2007,equinix inc
"Kevin J. Kennedy, Ph.D.",AVAYA INC,139662,25510,2009,avaya inc
"Raymond W. McDaniel, Jr.",MOODY'S CORP,139665,20106,2007,moody's corp
Lew Frankfort,TAPESTRY INC,140541,21393,2007,tapestry inc
Hugh Grant,MONSANTO CO,140760,23086,2007,monsanto co
Thomas M. Prescott,ALIGN TECHNOLOGY INC,141384,36420,2007,align technology
Donald L. Blankenship,MASSEY ENERGY CO,141400,2655,2007,massey energy
Min-Hwan Kao,GARMIN LTD,141459,43795,2007,garmin ltd
Paul R. Garcia,GLOBAL PAYMENTS INC,141913,20028,2007,global payments
Gregory H. Boyce,PEABODY ENERGY CORP,142460,27824,2007,peabody energy
Peter D. Kinnear,FMC TECHNOLOGIES INC,142811,26240,2007,fmc technologies
Irene B. Rosenfeld,MONDELEZ INTERNATIONAL INC,142953,23077,2007,mondelez international
