CEO Name,Company,GVKEY,EXECID,YEAR,input_company_name
Daniel M. Hamburger,ADTALEM GLOBAL EDUCATION INC,3905,25735,2007,adtalem global education
"William T. Dillard, II",DILLARDS INC  -CL A,3964,2332,2007,dillards  inc
Robert A. Iger,DISNEY (WALT) CO,3980,1557,2007,disney (walt)
David L. Bere,DOLLAR GENERAL CORP,4016,27416,2007,dollar general
"Thomas F. Farrell, II",DOMINION ENERGY INC,4029,16386,2007,dominion energy
"Thomas J. Quinlan, III",DONNELLEY (R R) & SONS CO,4040,28147,2007,donnelley (r r) & sons
Ronald L. Hoffman,DOVER CORP,4058,24420,2007,dover corp
"Andrew N. Liveris, A.O., AO",DUPONT DE NEMOURS INC,4060,26094,2007,dupont de nemours
John D. Wren,OMNICOM GROUP,4066,6099,2007,omnicom group
"Charles O. Holliday, Jr.",DU PONT (E I) DE NEMOURS,4087,12571,2007,du pont (e i) de nemours
"James E. Rogers, Jr.",DUKE ENERGY CORP,4093,784,2007,duke energy
Steven W. Alesio,DUN & BRADSTREET CORP,4094,23422,2007,dun & bradstreet
Lewis Mark Kling,FLOWSERVE CORP,4108,21241,2007,flowserve corp
Gregory L. Summe,PERKINELMER INC,4145,16771,2007,perkinelmer inc
Antonio M. Perez,EASTMAN KODAK CO,4194,17977,2007,eastman kodak
Alexander M. Cutler,EATON CORP PLC,4199,2361,2007,eaton plc
"Douglas M. Baker, Jr.",ECOLAB INC,4213,23269,2007,ecolab inc
Douglas L. Foshee,EL PASO CORP,4242,19778,2007,el paso
David N. Farr,EMERSON ELECTRIC CO,4321,20396,2007,emerson electric
"Bernard J. Duroc-Danner, Ph.D.",WEATHERFORD INTL PLC,4367,15507,2007,weatherford intl plc
Robert W. Best,ATMOS ENERGY CORP,4383,3774,2007,atmos energy
Richard F. Smith,EQUIFAX INC,4423,29414,2007,equifax inc
Murry Steven Gerber,EQT CORP,4430,21318,2007,eqt corp
Peter J. Rose,EXPEDITORS INTL WASH INC,4494,11440,2007,expeditors intl wash
Rex W. Tillerson,EXXON MOBIL CORP,4503,26689,2007,exxon mobil
William Gerald Walter,FMC CORP,4510,20951,2007,fmc corp
"Lewis Hay, III",NEXTERA ENERGY INC,4517,14029,2007,nextera energy
Howard R. Levine,FAMILY DOLLAR STORES,4560,13992,2007,family dollar stores
Frederick W. Smith,FEDEX CORP,4598,341,2007,fedex corp
Daniel H. Mudd,FEDERAL NATIONAL MORTGA ASSN,4601,21631,2007,federal national mortga assn
"Donald C. Wood, CPA",FEDERAL REALTY INVESTMENT TR,4605,33048,2007,federal realty investment tr
Terry J. Lundgren,MACY'S INC,4611,14904,2007,macy's inc
Kevin T. Kabat,FIFTH THIRD BANCORP,4640,14277,2007,fifth third bancorp
C. Dowd Ritter,REGIONS FINANCIAL CORP,4674,9132,2007,regions financial
Robert G. Wilmers,M & T BANK CORP,4699,362,2007,m & t bank
